FileNo,BirdMamm,SpNo,SglMtp,Species,Bmass,logBm,NoBroods,MeanBS,MeanSires,MP,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
13,1,11,a,"black-crowned antshrike, Thamnophilus atrinucha",,,50,1.78,1.04,0.04,0.629582221,0.015229692,0.599642709,0.659116116,1.296,0.548073043,1,3,3.2553402,1.610184369,2,7,2.059715501,0.87273194,1.521416005,4.75053487,0.583832585,0.004077827,0.578404952,0.593736309,1.351493033,0.012332711,1.327642402,1.375806886,1.652858118,0.040086274,1.577870688,1.734366121,0.602508666,0.580537326,0.634026235,0.562508666,0.540537326,0.594026235
14,1,12,a,"black-legged kittiwake, Rissa tridactyla",,,86,1.3837,1,0,0.643092608,0.01183577,0.619932188,0.666439454,1.220930233,0.462580323,1,2,3.049525349,1.423362555,2,7,1.899173168,0.720522128,1.503123826,3.228728414,0.528028546,0.012178546,0.505531036,0.553269007,1.171465992,0.004552947,1.162675231,1.180569773,1.555513262,0.028661345,1.500511402,1.613079654,0.536724666,0.499865121,0.586517412,0.536724666,0.499865121,0.586517412
15,1,13,a,"blue tit, Parus caeruleus",,,14,6.2857,1.2143,0.285714286,0.220274471,0.004148627,0.212194456,0.22825498,1.796721311,0.962232282,1,4,9.072064262,6.747427887,2,27,8.159635061,4.373367766,4.407372348,18.41425848,0.813983095,0.019344934,0.790889547,0.838598967,2.06887107,0.318832903,1.722031743,2.440746854,5.897611898,0.398939963,5.349179565,6.482681017,0.797819481,0.788239074,0.811453056,0.512105195,0.502524788,0.52573877
16,1,14,a,"blue-black grassquits, Volatinia jacarina",,,11,1.8182,1.3636,0.363636364,0.606282204,0.030903981,0.545103338,0.665000413,1.318181818,0.64571087,1,3,3.375838182,1.844744779,2,8,2.179913415,1.075124376,1.511630262,5.230636125,0.598464443,0.012148218,0.586058073,0.630226977,1.35087867,0.025501315,1.302008674,1.400891699,2.255082843,0.116158134,2.050579725,2.501610737,0.608054074,0.587212405,0.638155948,0.24441771,0.223576042,0.274519584
17,1,15,a,"boreal owl, Aegolius funereus",,,32,3.4063,1,0,0.415332283,0.014875001,0.38674996,0.444819431,1.396875,0.633928513,1,3,4.500277813,2.706459465,2,12,3.367594847,1.534034516,2.261590307,7.37373474,0.729041333,0.001329102,0.728129167,0.732714781,1.685933881,0.032418936,1.624529505,1.751099969,2.410806154,0.086551599,2.248103232,2.585649913,0.732535123,0.724708666,0.743872593,0.732535123,0.724708666,0.743872593
18,1,16,a,"buff-breasted wrens, Thryothorus leucotis",,,31,1.7097,1.0323,0.032258065,0.602985876,0.018807965,0.565204226,0.639204867,1.280645161,0.509851012,1,3,3.302814839,1.619690976,2,7,2.125914729,0.84940071,1.570870781,4.811938821,0.586786373,0.010960094,0.56958984,0.612349112,1.298729457,0.0132016,1.27274257,1.324660702,1.713583661,0.053688537,1.614909581,1.826345268,0.591925815,0.567729053,0.626214107,0.55966775,0.535470989,0.593956042
19,1,17,a,"cactus finch, Geospiza scandens",,,66,2.4091,1.1667,0.151515152,0.527266299,0.012263301,0.503251119,0.550633496,1.356060606,0.597121623,1,3,3.758587121,2.031013777,2,9,2.573266107,1.134998173,1.821705755,5.721144046,0.668404672,0.001449716,0.667192582,0.672252031,1.520432518,0.016649368,1.488198503,1.552534665,2.2138714,0.051660403,2.118771696,2.318259461,0.676263389,0.666264692,0.691965421,0.524748238,0.514749541,0.54045027
20,1,18,a,"Campo Flicker, Colaptes campestris",,,33,2.7273,1.0303,0.03030303,0.460745726,0.015925561,0.429541714,0.491775111,1.372727273,0.610897459,1,3,4.135573939,2.373221226,2,10,2.982932895,1.3323042,2.044588893,6.589663415,0.697938884,0.00442862,0.692755604,0.709130559,1.543173603,0.025018597,1.494897958,1.592657861,2.238845882,0.077689559,2.095069489,2.398609954,0.698675607,0.689803495,0.712075688,0.668372577,0.659500464,0.681772658
21,1,19,a,"Cape pendulin tit, Anthoscopus minutus",,,13,3.2308,1.1538,0.153846154,0.455758011,0.023590036,0.409315198,0.501888395,1.546153846,0.765723065,1,3,4.61585,2.729890652,2,12,3.401635686,1.696204051,2.015791012,7.060021202,0.723953952,0.003972354,0.720688677,0.734787153,1.713085277,0.049609435,1.617651942,1.812177861,2.538534094,0.132243383,2.299009433,2.818967287,0.724831979,0.716961773,0.736831621,0.570985825,0.563115619,0.582985467
22,1,20,a,"Cherrie's tanager, Ramphocelus costaricensis",,,31,1.8,1.1333,0.133333333,0.579795815,0.018535215,0.543842893,0.6158921,1.312903226,0.575433694,1,3,3.451661935,1.798247881,2,8,2.266743814,0.99665591,1.629030219,5.183126309,0.606905706,0.010810986,0.589725774,0.631230378,1.321250578,0.014361922,1.293919064,1.349744802,1.956714152,0.062725659,1.840149165,2.083935173,0.60543107,0.584058425,0.636199241,0.472097737,0.450725092,0.502865908
23,1,21,a,"chestnut-sided warbler, Dendroica pensylvanica",,,33,2.8788,1.697,0.606060606,0.532716398,0.015858979,0.501581615,0.563799755,1.587878788,0.856263179,1,4,4.280561515,2.506060325,2,11,2.983366505,1.611951108,1.784657744,7.495886147,0.713117203,0.005313768,0.70463281,0.725050493,1.727094868,0.030168348,1.668766001,1.7870713,3.188330616,0.095074835,3.009880158,3.383237434,0.707540793,0.699168872,0.720328594,0.101480186,0.093108266,0.114267988
24,1,22,a,"Chilean swallow, Tachycineta meyeni",,,52,3.0962,1.1346,0.115384615,0.437487473,0.012041684,0.413700468,0.46131664,1.453846154,0.702868241,1,3,4.490421346,2.688049626,2,11,3.325693506,1.611042685,2.178528276,7.022803696,0.715433036,0.00143343,0.714281561,0.719482188,1.629026215,0.022977959,1.584175667,1.675017229,2.595448635,0.071554439,2.459515411,2.742601164,0.718161579,0.710093078,0.730715657,0.602776963,0.594708462,0.615331041
