"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Kentish plover, Charadrius alexandrinus",65,2.61538461538462,NA,NA,0.0153846153846154,1.01538461538462,1,2,68,"48",85,"Blomqvist et al 2002"
"Eurasian wryneck, Jynx torquilla",50,5.84,NA,NA,0.02,1.02,1,2,163,"548",225,"Wink et al 2011"
"Great reed warbler, Acrocephalus arundinaceus",48,4.04166666666667,NA,NA,0.0208333333333333,1.02083333333333,1,2,4,"303",5,"Leisler et al (2000)"
"Red-cockaded woodpecker, Picoides borealis",44,1.81818181818182,NA,NA,0.0227272727272727,1.02272727272727,1,2,247,"196",366,"Haig et al. (1994)"
"Common tern, Sterna hirundo",34,3,NA,NA,0.0294117647058824,1.02941176470588,1,2,293,"179",428,"Gonzalez-Solis et al 2001"
"Purple sandpiper, Calidris maritima",27,3.03703703703704,3,4,0.037037037037037,1.03703703703704,1,2,49,"402",60,"Pierce & Lifjeld (1998)"
"House sparrow, Passer domesticus",54,3.16666666666667,NA,NA,0.037037037037037,1.03703703703704,1,2,221,"518",325,"Veiga & Boto 2000"
"Eurasian oystercatcher, Haematopus ostralegus",26,2.5,NA,NA,0.0384615384615385,1.03846153846154,1,2,152,"212",198,"Heg et al. (1993)"
"Willow tit, Parus montanus",24,4.66666666666667,NA,NA,0.0416666666666667,1.04166666666667,1,2,218,"387",320,"Orell et al. (1997)"
"Northern cardinal, Cardinalis cardinalis",19,1.94736842105263,NA,NA,0.0526315789473684,1.05263157894737,1,2,56,"436",69,"Ritchison et al. (1994)"
"Noisy miner, Manorina melanocephala",35,2.42857142857143,NA,NA,0.0571428571428571,1.05714285714286,1,2,186,"410",253,"Poldmaa et al. (1995)"
"Great reed warbler, Acrocephalus arundinaceus",162,4.18518518518519,NA,NA,0.0617283950617284,1.06172839506173,1,2,4,"205",4,"Hasselquist et al. (1996)"
"Blue-headed vireo, Vireo solitarius",16,2.3125,NA,NA,0.0625,1.0625,1,2,343,"370",497,"Morton et al. (1998)"
"Red-necked phalarope, Phalaropus lobatus",63,3.58730158730159,NA,NA,0.0634920634920635,1.06349206349206,1,2,236,"456",350,"Schamel et al 2004"
"Australian magpie-lark, Grallina cyanoleuca",47,2.19148936170213,NA,NA,0.0638297872340425,1.06382978723404,1,2,147,"197",192,"Hall & Magrath (2000)"
"Common sandpiper, Actitis hypoleucos",15,3.53333333333333,NA,NA,0.0666666666666667,1.06666666666667,1,2,13,"48",16,"Blomqvist et al 2002"
"Eurasian jackdaw, Corvus monedula",15,2.6,NA,NA,0.0666666666666667,1.06666666666667,1,2,94,"311",113,"Liebers & Peter 1998"
"Common sandpiper, Actitis hypoleucos",27,3.07407407407407,NA,NA,0.0740740740740741,1.07407407407407,1,2,13,"352",15,"MEE et al 2004"
"Brown skua, Catharacta lonnbergi",26,1.73076923076923,1,2,0.0769230769230769,1.07692307692308,1,2,61,"356",75,"Millar et al. (1994)"
"Bell miner, Manorina melanophrys",13,1.84615384615385,NA,NA,0.0769230769230769,1.07692307692308,1,2,187,"93",254,"Conrad et al. (1998)"
"Royal penguin, Eudyptes schlegeli",13,2,2,2,0.0769230769230769,1.07692307692308,1,2,124,"477",155,"St clair et al. (1995)"
"Western sandpiper, Calidris mauri",25,2.44,NA,NA,0.08,1.08,1,2,50,"48",61,"Blomqvist et al 2002"
"Zebra finch, Taeniopygia guttata",25,3.28,NA,NA,0.08,1.08,1,2,309,"44",455,"Birkhead et al. (1990)"
"Ross's goose, Chen rossii",24,3.45833333333333,NA,NA,0.0833333333333333,1.08333333333333,1,2,79,"130",97,"Dunn et al. (1999)"
"Common gull, Larus canus",24,2.29166666666667,NA,NA,0.0833333333333333,1.08333333333333,1,2,173,"68",235,"Bukacinska et al. (1998)"
"Eurasian three-toed woodpecker, Picoides tridactylus",23,2.08695652173913,NA,NA,0.0869565217391304,1.08695652173913,1,2,248,"395",367,"Pechacek et al 2005"
"Eurasian dotterel, Eudromias morinellus",22,2,1,3,0.0909090909090909,1.09090909090909,1,2,122,"392",153,"Owens et al. (1995)"
