"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Great tit, Parus major",99,6.73737373737374,NA,NA,0.252525252525253,1.26262626262626,1,3,217,"512",312,"van Oers et al 2008"
"Vinous-throated parrotbills, Paradoxornis webbianus",50,4.92,NA,NA,0.26,1.36,1,4,211,"299",286,"Lee 2012, Lee et al 2009"
"Crimson-breasted shrike, Laniarius atrococcineus",41,1.80487804878049,NA,NA,0.268292682926829,1.26829268292683,1,2,167,"509",229,"van den Heuvel et al 2014"
"Dickcissel, Spiza americana",92,2.3695652173913,NA,NA,0.282608695652174,1.32608695652174,1,3,290,"476",424,"Sousa & Westneat 2013"
"House sparrow, Passer domesticus",56,3.30357142857143,NA,NA,0.285714285714286,1.28571428571429,1,2,221,"186",324,"Griffith et al 1999"
"House sparrow, Passer domesticus",35,3.68571428571429,NA,NA,0.285714285714286,1.28571428571429,1,2,221,"505",328,"Vaclav & Hoi 2007"
"Blue tit, Parus caeruleus",14,6.28571428571429,NA,NA,0.285714285714286,1.21428571428571,1,2,215,"239",302,"Johannessen et al 2005"
"Pied flycatcher, Ficedula hypoleuca",59,4.54237288135593,NA,NA,0.288135593220339,1.43220338983051,1,3,133,"367",170,"Moreno et al 2013"
"Scarlet tanager, Piranga olivacea",17,3.17647058823529,NA,NA,0.294117647058824,1.52941176470588,1,3,250,"267",370,"Klatt et al 2008"
"Great cormorant, Phalacrocorax carbo",30,4.13333333333333,NA,NA,0.3,1.43333333333333,1,3,234,"359",348,"Minias et al 2016"
"Great tit, Parus major",13,6.30769230769231,NA,NA,0.307692307692308,1.30769230769231,1,2,217,"239",319,"Johannessen et al 2005"
"Scarlet rosefinch, Carpodacus erythrinus",75,4.29032258064516,NA,NA,0.32,2.3,1,5,59,"8",72,"Albrecht et al 2007; Albrecht et al 2009"
"Red-billed quelea, Quelea quelea",37,1.51351351351351,NA,NA,0.324324324324324,1.32432432432432,1,2,271,"104",395,"Dallimer & Jones 2007"
"Superb fairy-wren, Malurus cyaneus",12,2.25,1,3,0.333333333333333,1.41666666666667,1,3,182,"91",246,"Colombelli-Negrel et al 2009"
"Karoo scrub-robin, Erythropygia coryphaeus",12,2.75,NA,NA,0.333333333333333,1.33333333333333,1,2,120,"430",151,"Ribeiro et al 2012"
"Wood warbler, Phylloscopus sibilatrix",3,2,NA,NA,0.333333333333333,1.33333333333333,1,2,244,"185",359,"Grendelmeier et al 2017"
"Red phalarope, Phalaropus fulicarius",18,3.88888888888889,NA,NA,0.333333333333333,1.33333333333333,1,2,235,"103",349,"Dale et al. (1999)"
"Black-capped chickadee, Parus atricapillus",57,6.15789473684211,NA,NA,0.333333333333333,1.40350877192982,1,3,213,"354",289,"Mennill et al 2004"
"Cooper's hawk, Accipiter cooperii",44,3.18181818181818,1,6,0.340909090909091,1.34090909090909,1,2,2,"440",2,"Rosenfield et al. 2015"
"Spotted towhee, Pipilo maculatus",145,2.51754385964912,NA,NA,0.351,1.60689655172414,1,3,361,"574",524,"Smith et al 2016"
"Song sparrow, Melospiza melodia",11,3.45454545454545,NA,NA,0.363636363636364,1.36363636363636,1,2,192,"334",260,"Major and Barber 2004"
"Blue-black grassquits, Volatinia jacarina",11,1.81818181818182,NA,NA,0.363636363636364,1.36363636363636,1,2,344,"77",498,"Carvalho et al 2006"
"Yellow-shouldered blackbird, Agelaius xanthomus",30,2.9,NA,NA,0.366666666666667,1.5,1,3,351,"573",523,"Liu et al 2015"
"Black coucal, Centropus grillii",35,3.62857142857143,2,5,0.371428571428571,1.4,1,3,64,"372",79,"Muck et al 2009"
"European nuthatch, Sitta europaea",32,5.875,NA,NA,0.375,1.375,1,2,287,"465",421,"Segelbacher et al 2005"
"House wren, Troglodytes aedon",181,4.73480662983425,NA,NA,0.375690607734807,1.52861878453039,1,6,322,"99",471,"Cramer et al 2013"
"Varied tit, Parus varius",40,6.275,NA,NA,0.4,1.4,1,2,220,"253",322,"Ju et al 2014"
"Scissor-tailed flycatchers, Tyrannus forficatus",140,3.92857142857143,3,6,0.435714285714286,1.65040650406504,1,4,332,"FSD",NA,"Roeder et al. 2019"
"New Zealand hihi, Notiomystis cincta",485,3.17113402061856,NA,NA,0.437113402061856,1.57938144329897,1,5,202,"55",274,"Brekke et al 2013"
"Prairie chicken, Tympanuchus cupido",25,8.5,NA,NA,0.44,1.64,1,4,331,"216",483,"Hess et al 2012"
"Mallard, Anas platyrhynchos",25,9.96153846153846,NA,NA,0.48,1.6,1,3,25,"279",34,"Kreisinger et al 2010"
"Kalij pheasant, Lophura leucomelanos",13,6.07692307692308,NA,NA,0.538461538461538,1.76923076923077,1,3,359,"575",525,"Zeng et al 2016"
"Golden-winged warblers, Vermivora chrysoptera",54,4.37037037037037,NA,NA,0.538461538461538,1.70557692307692,1,4,340,"508",494,"Vallender et al 2007"
"Yellow rumped flycatcher, Ficedula zanthopygia",64,5.078125,NA,NA,0.546875,1.546875,1,2,135,"133",180,"Mingju et al 2017"
"Great tit, Parus major",47,6.46808510638298,NA,NA,0.553191489361702,1.61702127659574,1,3,217,"166",307,"Garcia-Navas et al 2015"
"Reed bunting, Emberiza schoeniclus",121,4,2,5,0.558823529411765,1.97058823529412,1,5,115,"53",143,"Bouwman et al 2006"
"Acadian flycatcher, Empidonax virescens",53,2.50943396226415,NA,NA,0.584905660377358,2.51612903225806,1,3,118,"555",148,"Woolfenden et al 2005"
"Chestnut-sided warbler, Dendroica pensylvanica",33,2.87878787878788,NA,NA,0.606060606060606,1.6969696969697,1,3,106,"71",127,"Byers et al 2004"
"Mexican jay, Aphelocoma ultramarina",51,2.72549019607843,NA,NA,0.627450980392157,1.76470588235294,1,3,30,"308",40,"Li & Brown (2000)"
"Grey fantail, Rhipidura fuliginosa",25,1.96,2,3,0.64,1.8,1,3,276,"222",401,"Hoffman et al 2010"
"Tree swallow, Tachycineta bicolor",99,5.07070707070707,NA,NA,0.682926829268293,1.84146341463415,1,4,306,"479",446,"Stapleton et al 2007"
"Tree swallow, Tachycineta bicolor",21,4.95238095238095,1,7,0.761904761904762,2.0952380952381,1,3,306,"262",446,"Kempenaers et al 2001"
"Field sparrow, Spizella pusilla",80,3.85,NA,NA,0.8,1.5,1,3,291,"80",425,"Celis-Murillo et al 2017"
"Tree swallow, Tachycineta bicolor",40,5.4,NA,NA,0.85,2.075,1,4,306,"382",451,"O'Brien & Dawson 2007, Bitton et al 2007"
"Northern bobwhite, Colinus virginianus",34,11.0588235294118,NA,NA,0.852941176470588,2.29,1,4,356,"566",513,"Davis et al 2017"
"Ostrich, Struthio camelus",4,6.75,NA,NA,1,2.5,2,3,297,"265",434,"Kimwele & Graves 2003"
