"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"15","Palila, Loxioides bailleui",1.66666666666667,1,0,0.662652173894331,0.0303573917144765,0.602219456981736,0.721967459505044,1.35,0.542371562497299,1,3,3.28693583333333,1.53587454782006,2,7,2.04158443824958,0.826510344070033,1.39435690751441,4.39257442002613,0.558685448195579,0.00874893358614338,0.55129763684224,0.582436339518291,1.32077761748035,0.0218112258935267,1.27884022399,1.36494054048277,1.51228476907376,0.0699576220461712,1.3851039778133,1.66052422984901,0.585245892875784,0.559593788875694,0.621450597571893,0.585245892875784,0.559593788875694,0.621450597571893
"16","Serin, Serinus serinus",2.9047619047619,1,0,0.461179449694679,0.0190441110261882,0.424197371094779,0.498511748226292,1.46190476190476,0.704391962421498,1,3,4.36134428571429,2.55744675368072,2,11,3.17535373823973,1.53695136340841,2.02055509858403,6.75086854665131,0.705710187170168,0.00254814280237895,0.70391787893108,0.712883132909955,1.60652792644356,0.033543615723078,1.54257578975164,1.67345180117804,2.1720660750174,0.0900734114410077,2.00597077929126,2.3573932045406,0.708862683526686,0.700567114980144,0.721579440320352,0.708862683526686,0.700567114980144,0.721579440320352
"17","Common tern, Sterna hirundo",2.9,1,0,0.457195079648287,0.00949843021336469,0.438652024177178,0.475791723042954,1.40795454545455,0.634737202662847,1,3,4.24622113636364,2.44092296477676,2,11,3.08087978650455,1.39070757053049,2.11027058675325,6.63185822814671,0.707254342883587,0.00257455998333673,0.703653136924914,0.710741556347426,1.6151799570557,0.0245645606535879,1.57034148401041,1.66154752673372,2.22037483545264,0.0563035600876919,2.11569480919092,2.33238722185879,0.708623740766171,0.700319990058425,0.721344553698113,0.708623740766171,0.700319990058425,0.721344553698113
"18","Common tern, Sterna hirundo",3,1.02941176470588,0.0294117647058824,0.457195079648287,0.00949843021336469,0.438652024177178,0.475791723042954,1.40795454545455,0.634737202662847,1,3,4.24622113636364,2.44092296477676,2,11,3.08087978650455,1.39070757053049,2.11027058675325,6.63185822814671,0.707254342883587,0.00257455998333673,0.703653136924914,0.710741556347426,1.6151799570557,0.0245645606535879,1.57034148401041,1.66154752673372,2.22037483545264,0.0563035600876919,2.11569480919092,2.33238722185879,0.713481512851079,0.705317573302741,0.726146844339676,0.684069748145196,0.675905808596859,0.696735079633794
"19","South polar skua, Catharacta maccormicki",1.07692307692308,1,0,0.740035742715056,0.0313025369329793,0.676198820155635,0.798781988499987,1.13076923076923,0.337147929684783,1,2,2.63396923076923,1.01906403409461,2,5,1.53075942459089,0.461502429505378,1.25444929919411,2.80657512481572,0.370423114100039,0.0463680795502949,0.291423725867274,0.472605100727924,1.04101017400807,0.00271168535790924,1.03571644134773,1.04633912199271,1.35373282446813,0.0579552228566285,1.25190604497421,1.47885499085909,0.475932859772204,0.423977885561019,0.544591862461822,0.475932859772204,0.423977885561019,0.544591862461822
"20","Western gull, Larus occidentalis",1.5,1,0,0.653123229118938,0.0231790098346165,0.606807903297031,0.697921577204062,1.23636363636364,0.455816508566372,1,2,3.05975090909091,1.39616903977637,2,7,1.89540215849174,0.702504900352288,1.43770323272783,3.2479540579978,0.533501995656,0.0156512740929786,0.509148643560585,0.569715403213577,1.23144011515428,0.0120122380424827,1.20806070517099,1.25529575605281,1.53304586348597,0.0547745408699264,1.43282573988454,1.64796799002914,0.557614186951764,0.525716594393021,0.601601171885533,0.557614186951764,0.525716594393021,0.601601171885533
"21","Galapagos hawk, Buteo galapagoensis",2.2,1,0,0.551198852078462,0.0329898817654715,0.486341821807346,0.614362969627053,1.23,0.507050546888823,1,3,3.369898,1.77999175221871,2,8,2.23959475156938,0.934846099494932,1.63384883687927,5.33712430698791,0.651226468603852,0.00839253371461654,0.645112494343652,0.674837371670385,1.46470249230761,0.0386182198733825,1.39123116674509,1.54100621877542,1.82080874111331,0.110375446766778,1.62770227032451,2.05616699086789,0.655832921742169,0.643226193545974,0.675147577141218,0.655832921742169,0.643226193545974,0.675147577141218
"22","Monteiros hornbill, Tockus monteiri",3.55263157894737,1,0,0.384477438576725,0.0135068207159586,0.358340480344323,0.410773644775168,1.33947368421053,0.57401615529782,1,3,4.58593894736842,2.81390836120175,2,12,3.48819440467755,1.50079734843489,2.44662525272463,7.73923039219717,0.736266484948253,0.00276587636792973,0.733678458775036,0.743549613260171,1.66266068821916,0.0302780528670666,1.60483524934605,1.7223682571555,2.6041529936689,0.0917826345788776,2.43443076920536,2.79064201495319,0.738542688161349,0.730732673441536,0.749425504348654,0.738542688161349,0.730732673441536,0.749425504348654
"23","Laughing kookaburra, Dacelo novaeguineae",2.25806451612903,1,0,0.534720348023806,0.0126214146326178,0.509503200951192,0.55919358533194,1.34677419354839,0.604343932347238,1,3,3.70330290322581,2.01013774218303,2,9,2.52005734895797,1.13272157920019,1.79394731277749,5.65278922251512,0.655884033535394,0.00292489328294269,0.652007448481333,0.663215385512811,1.46848320111578,0.0152249461456904,1.43845065739912,1.49836660512881,1.87118030701071,0.0442542022423851,1.78828946939102,1.96269620708958,0.661997121340287,0.650273774141545,0.680100995471258,0.661997121340287,0.650273774141545,0.680100995471258
"24","Bushtit, Psaltriparus minimus",5.9,1,0,0.256584336206363,0.0175747880310201,0.222870244011166,0.291697093443118,1.58,0.838809098425088,1,4,7.173778,5.28239388065688,2,21,6.18692545712767,3.31995908940531,3.47776899416301,15.2670764542108,0.784404882406992,0.00472164051752983,0.781127358134993,0.798079230172725,1.83350380373581,0.0718116566815309,1.6986572684585,1.97978002305905,3.91577560577701,0.270203514200995,3.42821379703932,4.48691571415605,0.795141305836651,0.784901304237902,0.809122246370623,0.795141305836651,0.784901304237902,0.809122246370623
