"FileNo","LineNo","species","animal","OldName","NewName","Bmass","logBm","NoLitters","MeanLS","MeanSires","MP","PMP","resPMP","MeanQ","MeanM","mev","weights","mesd","rand"
27,25,"Microcebus_murinus","Microcebus_murinus","Microcebus_murinus","a(ADW)",69,1.839,26,2,1.7,0.654,0.623003009508356,-0.0309969904916441,0.629718733654955,3.69140961538462,0.043478261,23,0.208514414,0.470982473
28,30,"Tupaia_tana","Tupaia_tana","Tupaia_tana","a",182.33,2.261,9,2,1.3,0.333,0.623003009508356,0.290003009508356,0.624239099883832,3.60907777777778,0.166666667,6,0.40824829,0.274012974
29,31,"Ovis_aries","Ovis_aries","Ovis_aries","a",39097.89,4.592,80,2,1.7,0.738,0.623003009508356,-0.114996990491644,0.618183997725808,3.632133875,0.012987013,77,0.113960576,0.672457854
30,41,"Capreolus_capreolus","Capreolus_capreolus","Capreolus_capreolus","a",22502.01,4.352,33,2.1,1.2,0.155,0.636496030632701,0.481496030632701,0.575132429194979,3.55740818181818,0.033333333,30,0.182574186,0.688906849
31,55,"Odocoileus_virginianus","Odocoileus_virginianus1","Odocoileus_virginianus1","a",75901.25,4.88,27,2.1,1.3,0.259,0.636496030632701,0.377496030632701,0.6159157576403,3.53900407407407,0.041666667,24,0.204124145,0.551614006
32,56,"Odocoileus_virginianus","Odocoileus_virginianus2","Odocoileus_virginianus2","a",75901.25,4.88,27,2,1.4,0.37,0.623003009508356,0.253003009508356,0.6159157576403,3.53900407407407,0.041666667,24,0.204124145,0.722745333
33,36,"Antilocapra_americana","Antilocapra_americana","Antilocapra_americana","a",47450.01,4.676,25,2,1.4,0.44,0.623003009508356,0.183003009508356,0.620778916917443,3.5043388,0.045454545,22,0.213200716,0.092511338
34,58,"Sus_scrofa","Sus_scrofa","Sus_scrofa","a",169000,5.228,30,4.5,1.1,0.1,0.781564525459478,0.681564525459478,0.331256312551337,5.82914266666667,0.037037037,27,0.19245009,0.770775407
35,21,"Mustela_erminea","Mustela_erminea","Mustela_erminea","a",284.5,2.454,5,8.4,1.2,0.2,0.839051833372185,0.639051833372185,0.223074091577831,9.138684,0.5,2,0.707106781,0.775962608
36,5,"Neovison_vison","Neovison_vison","Mustela_vison","Neovison_vison(ADW)",1075,3.031,5,3.6,1.6,0.6,0.75191468265364,0.15191468265364,0.466043631040795,5.066374,0.5,2,0.707106781,0.23242533
37,59,"Gulo_gulo","Gulo_gulo","Gulo_gulo","a",12792.49,4.107,43,2.1,1,0,0.636496030632701,0.636496030632701,0.552628973576208,3.57678255813953,0.025,40,0.158113883,0.362969223
