FileNo,LineNo,species,animal,OldName,NewName,Bmass,logBm,NoLitters,MeanLS,MeanSires,MP,PMP,resPMP,MeanQ,MeanM,mev,weights,mesd,rand
30,41,Capreolus_capreolus,Capreolus_capreolus,Capreolus_capreolus,a,22502.01,4.352,33,2.1,1.2,0.155,0.636139216,0.481139216,0.589231603,3.47415,0.033333333,30,0.182574186,0.688906849
31,55,Odocoileus_virginianus,Odocoileus_virginianus1,Odocoileus_virginianus1,a,75901.25,4.88,27,2.1,1.3,0.259,0.636139216,0.377139216,0.605496973,3.533534444,0.041666667,24,0.204124145,0.551614006
32,56,Odocoileus_virginianus,Odocoileus_virginianus2,Odocoileus_virginianus2,a,75901.25,4.88,27,2,1.4,0.37,0.62291015,0.25291015,0.605496973,3.533534444,0.041666667,24,0.204124145,0.722745333
33,36,Antilocapra_americana,Antilocapra_americana,Antilocapra_americana,a,47450.01,4.676,25,2,1.4,0.44,0.62291015,0.18291015,0.573570934,3.669456,0.045454545,22,0.213200716,0.092511338
34,58,Sus_scrofa,Sus_scrofa,Sus_scrofa,a,169000,5.228,30,4.5,1.1,0.1,0.784860548,0.684860548,0.326279607,5.627002667,0.037037037,27,0.19245009,0.770775407
35,21,Mustela_erminea,Mustela_erminea,Mustela_erminea,a,284.5,2.454,5,8.4,1.2,0.2,0.831830088,0.631830088,0.224134187,9.192582,0.5,2,0.707106781,0.775962608
36,5,Neovison_vison,Neovison_vison,Mustela_vison,Neovison_vison(ADW),1075,3.031,5,3.6,1.6,0.6,0.757188657,0.157188657,0.46180946,4.528392,0.5,2,0.707106781,0.23242533
37,59,Gulo_gulo,Gulo_gulo,Gulo_gulo,a,12792.49,4.107,43,2.1,1,0,0.636139216,0.636139216,0.571042235,3.545978837,0.025,40,0.158113883,0.362969223
38,23,Meles_meles,Meles_meles,Meles_meles,a,11884.03,4.075,174,2,1.4,0.396,0.62291015,0.22691015,0.6045955,3.56646454,0.005847953,171,0.076471911,0.9002425
39,26,Procyon_lotor,Procyon_lotor,Procyon_lotor,a,6373.72,3.804,8,4,1.9,0.875,0.772681191,-0.102318809,0.44812467,5.55197875,0.2,5,0.447213595,0.548664078
40,12,Ursus_arctos,Ursus_arctos,Ursus_arctos,a,196287.5,5.293,69,2,1.1,0.145,0.62291015,0.47791015,0.56362953,3.435217826,0.015151515,66,0.123091491,0.816273932
41,4,Ursus_americanus,Ursus_americanus,Ursus_americanus,a,110500,5.043,5,2.4,1.2,0.2,0.671843565,0.471843565,0.523897628,4.125628,0.5,2,0.707106781,0.902389595
42,22,Canis_simensis,Canis_simensis,Canis_simensis,a,14361.86,4.157,12,4.7,1.3,0.333,0.788452716,0.455452716,0.38751668,5.720608333,0.111111111,9,0.333333333,0.389005452
43,1,Lycaon_pictus,Lycaon_pictus,Lycaon_pictus,a,21999.9,4.342,6,4.2,1.2,0.167,0.77856024,0.61156024,0.374622239,5.0109,0.333333333,3,0.577350269,0.713787895
44,37,Vulpes_vulpes,Vulpes_vulpes,Vulpes_vulpes,a,4820.36,3.683,12,3.8,1.8,0.5,0.765467153,0.265467153,0.488833792,5.327365833,0.111111111,9,0.333333333,0.198680366
