"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Lesser kestrel, Falco naumanni",8,3,NA,NA,0.125,1.125,1,2,"Alcaide et al 2005"
"Red-footed falcon, Falco vespertinus",37,2.62162162,NA,NA,0.027027027,1.027027027,1,2,"Magonyi et al. (2021)"
"Pied flycatcher, Ficedula hypoleuca",296,5.91554054054054,3,8,0.189189189189189,1.21959459459459,1,4,"Grinkov et al. 2018"
"Pied flycatcher, Ficedula hypoleuca",59,4.54237288135593,NA,NA,0.288135593220339,1.43220338983051,1,3,"Moreno et al 2013"
"Red-breasted flycatcher, Ficedula parva",33,4.81818181818182,NA,NA,0.242424242424242,1.39393939393939,1,3,"Mitrus et al 2014"
"Yellow rumped flycatcher, Ficedula zanthopygia",64,5.078125,NA,NA,0.546875,1.546875,1,2,"Mingju et al 2017"
"Cactus finch, Geospiza scandens",66,2.40909090909091,NA,NA,0.151515151515152,1.16666666666667,1,3,"Petren et al. (1999)"
"Wood thrush, Hylocichla mustelina",51,2.96078431372549,NA,NA,0.137254901960784,1.13725490196078,1,2,"Evans et al 2008b"
"Yellow-breasted chat, Icteria virens",55,2.1,1,3,0.233333333333333,1.26666666666667,1,2,"Mino et al 2011b"
"Comb-crested jacana, Irediparra gallinacea",10,3.5,NA,NA,0.1,1.1,1,2,"Haig et al 2003"
"Jabiru, Jabiru mycteria",13,2.61538461538462,NA,NA,0.0769230769230769,1.38461538461538,1,2,"Lopes et al 2013"
"White-tailed ptarmigan, Lagopus leucura",18,3.22222222222222,NA,NA,0.166666666666667,1.16666666666667,1,2,"Benson 2002"
"Crimson-breasted shrike, Laniarius atrococcineus",41,1.80487804878049,NA,NA,0.268292682926829,1.26829268292683,1,2,"van den Heuvel et al 2014"
"Isabelline shrike, Lanius isabellinus",61,3.37704918032787,NA,NA,0.0491803278688525,1.04918032786885,1,2,"Bao et al. 2019"
"Savi's warbler, Locustella luscinioides",102,3.84313725490196,NA,NA,0.0588235294117647,1.05882352941176,1,2,"Neto et al 2010"
"Kalij pheasant, Lophura leucomelanos",13,6.07692307692308,NA,NA,0.538461538461538,1.76923076923077,1,3,"Zeng et al 2016"
"Common crossbill, Loxia curvirostra",34,2.82352941176471,NA,NA,0,1,1,1,"Kleven et al 2008"
"Lovely fairy-wren, Malurus amabilis",29,2,1,3,0.275862069,1.379310345,1,3,"Leitão et al. (2021)"
"Superb fairy-wren, Malurus cyaneus",12,2.25,1,3,0.333333333333333,1.41666666666667,1,3,"Colombelli-Negrel et al 2009"
"Song sparrow, Melospiza melodia",11,3.45454545454545,NA,NA,0.363636363636364,1.36363636363636,1,2,"Major and Barber 2004"
"Subdesert mesite, Monias benschi",11,1.54545454545455,1,2,0.181818181818182,1.18181818181818,1,1,"Seddon et al 2005"
"Wood stork, Mycteria americana",29,3,NA,NA,0,1,1,1,"Mino et al 2011"
"Monk parakeet, Myiopsitta monachus",52,1.11538461538462,NA,NA,0,1,1,1,"Goncalves da Silva et al 2010"
"Monk parakeet, Myiopsitta monachus",14,1.92857142857143,NA,NA,0,1,1,1,"Goncalves da Silva et al 2010"
"Monk parakeet, Myiopsitta monachus",12,2.83333333333333,NA,NA,0,1,1,1,"Goncalves da Silva et al 2010"
"New Zealand hihi, Notiomystis cincta",485,3.17113402061856,NA,NA,0.437113402061856,1.57938144329897,1,5,"Brekke et al 2013"
"Elegant scops-owl, Otus elegans",108,1.85185185185185,NA,NA,0.00925925925925926,1.00925925925926,1,2,"Hsu et al 2006"
"Golden whistlers, Pachycephala pectoralis",65,2,NA,NA,0.123076923076923,1.13846153846154,1,3,"van Dongen & Mulder 2009"
"Vinous-throated parrotbills, Paradoxornis webbianus",50,4.92,NA,NA,0.26,1.36,1,4,"Lee 2012, Lee et al 2009"
"Black-capped chickadee, Parus atricapillus",57,6.15789473684211,NA,NA,0.333333333333333,1.40350877192982,1,3,"Mennill et al 2004"
"Blue tit, Parus caeruleus",14,6.28571428571429,NA,NA,0.285714285714286,1.21428571428571,1,2,"Johannessen et al 2005"
"Great tit, Parus major",99,6.73737373737374,NA,NA,0.252525252525253,1.26262626262626,1,3,"van Oers et al 2008"
"Great tit, Parus major",13,6.30769230769231,NA,NA,0.307692307692308,1.30769230769231,1,2,"Johannessen et al 2005"
"Great tit, Parus major",47,6.46808510638298,NA,NA,0.553191489361702,1.61702127659574,1,3,"Garcia-Navas et al 2015"
"Varied tit, Parus varius",40,6.275,NA,NA,0.4,1.4,1,2,"Ju et al 2014"
"House sparrow, Passer domesticus",112,2.72321428571429,NA,NA,0.0357142857142857,1.03571428571429,1,2,"Griffith et al 1999"
"House sparrow, Passer domesticus",56,3.30357142857143,NA,NA,0.285714285714286,1.28571428571429,1,2,"Griffith et al 1999"
"House sparrow, Passer domesticus",35,3.68571428571429,NA,NA,0.285714285714286,1.28571428571429,1,2,"Vaclav & Hoi 2007"
"Siberian jay, Perisoreus infaustus",23,1.73913043478261,NA,NA,0,1,1,1,"Gienapp & Merila 2010"
"New Zealand robin, Petroica australis",54,3.66666666666667,NA,NA,0.0185185185185185,1.01851851851852,1,2,"Taylor et al 2008"
"Imperial shag, Phalacrocorax atriceps",37,2.97297297297297,NA,NA,0,1,1,1,"Calderon et al (2012)"
"Great cormorant, Phalacrocorax carbo",30,4.13333333333333,NA,NA,0.3,1.43333333333333,1,3,"Minias et al 2016"
"Red phalarope, Phalaropus fulicarius",18,3.88888888888889,NA,NA,0.333333333333333,1.33333333333333,1,2,"Dale et al. (1999)"
"Saddleback, Philesturnus carunculatus",39,5.17948717948718,NA,NA,0,1,1,1,"Taylor et al. (2008)"
"Sociable weaver, Philetairus socius",20,2.8,NA,NA,0,1,1,1,"Covas et al 2006"
"Common redstart, Phoenicurus phoenicurus",38,6.65789473684211,NA,NA,0.105263157894737,1.10526315789474,1,2,"Kleven et al 2007"
"Wood warbler, Phylloscopus sibilatrix",3,2,NA,NA,0.333333333333333,1.33333333333333,1,2,"Grendelmeier et al 2017"
"Eurasian three-toed woodpecker, Picoides tridactylus",26,3.07692307692308,NA,NA,0.0769230769230769,1.07692307692308,1,2,"Li et al 2009"
"Spotted towhee, Pipilo maculatus",145,2.51754385964912,NA,NA,0.351,1.60689655172414,1,3,"Smith et al 2016"
"Scarlet tanager, Piranga olivacea",17,3.17647058823529,NA,NA,0.294117647058824,1.52941176470588,1,3,"Klatt et al 2008"
"Crimsom rosella, Platycercus elegans",42,4.40476190476191,1,8,0,1,1,1,"Eastwood et al. 2018"
"American golden plover, Pluvialis dominica",31,3.45161290322581,NA,NA,0.161290322580645,1.16129032258065,1,2,"Yezerinac et al 2013"
"Ground tit, Pseudopodoces humilis",75,4.69333333333333,NA,NA,0.0133333333333333,1.01333333333333,1,2,"Johannessen et al 2011"
"El oro parakeet, Pyrrhura orcesi",28,3.71428571428571,NA,NA,0.107142857142857,1.10714285714286,1,2,"Klauke et al 2013"
"Red-billed quelea, Quelea quelea",37,1.51351351351351,NA,NA,0.324324324324324,1.32432432432432,1,2,"Dallimer & Jones 2007"
"Cherrie's tanager, Ramphocelus costaricensis",31,1.8,1,2,0.133333333333333,1.13333333333333,1,2,"Krueger et al 2008"
"White-crowned penduline tit, Remiz coronatus",5,5.8,NA,NA,0,1,1,1,"Ball et al. 2017"
"Grey fantail, Rhipidura fuliginosa",25,1.96,2,3,0.64,1.8,1,3,"Hoffman et al 2010"
"Black-legged kittiwake, Rissa tridactyla",86,1.38372093023256,NA,NA,0,1,1,1,"Helfenstein et al 2004"
"Eastern bluebird, Sialia sialis",79,3.73809523809524,NA,NA,0.0952380952380952,1.0952380952381,1,2,"Stewart et al 2010"
"Saffron finch, Sicalis flaveola",54,3.66666666666667,NA,NA,0.222222222222222,1.2962962962963,1,4,"BenitezSaldivar et al. 2019"
"European nuthatch, Sitta europaea",32,5.875,NA,NA,0.375,1.375,1,2,"Segelbacher et al 2005"
"Dickcissel, Spiza americana",92,2.3695652173913,NA,NA,0.282608695652174,1.32608695652174,1,3,"Sousa & Westneat 2013"
"Field sparrow, Spizella pusilla",80,3.85,NA,NA,0.8,1.5,1,3,"Celis-Murillo et al 2017"
"Southern emu-wren, Stipiturus malachurus",27,1.85185185185185,1,3,0.0740740740740741,1.07407407407407,1,2,"Maguire & Mulder 2008"
"Tawny owl, Strix aluco",37,3.7027027027027,NA,NA,0.027027027027027,1.02702702702703,1,2,"Saladin et al 2007"
"Apostlebird, Struthidea cinerea",15,2.73333333333333,NA,NA,0,1,1,1,"Woxvold & Mulder 2008"
"Apostlebird, Struthidea cinerea",78,2.30232558139535,NA,NA,0.0428571428571429,1.04285714285714,1,2,"Warrington et al 2013"
"Ostrich, Struthio camelus",4,6.75,NA,NA,1,2.5,2,3,"Kimwele & Graves 2003"
"Tree swallow, Tachycineta bicolor",99,5.07070707070707,NA,NA,0.682926829268293,1.84146341463415,1,4,"Stapleton et al 2007"
"Tree swallow, Tachycineta bicolor",21,4.95238095238095,1,7,0.761904761904762,2.0952380952381,1,3,"Kempenaers et al 2001"
"Tree swallow, Tachycineta bicolor",40,5.4,NA,NA,0.85,2.075,1,4,"O'Brien & Dawson 2007, Bitton et al 2007"
"Chilean swallow, Tachycineta meyeni",52,3.09615384615385,NA,NA,0.115384615384615,1.13461538461538,1,3,"Ferretti et al 2016"
"Zebra finch, Taeniopygia guttata",80,3.95,NA,NA,0.05,1.05,1,2,"Griffith et al 2010"
"Black grouse, Tetrao tetrix",130,7.08333333333333,NA,NA,0.0208333333333333,1.04166666666667,1,3,"Lebigre et al 2007"
"Black-crowned antshrike, Thamnophilus atrinucha",50,1.78,NA,NA,0.04,1.04,1,2,"Tarwater et al 2013"
"Buff-breasted wrens, Thryothorus leucotis",31,1.70967741935484,2,3,0.032258064516129,1.03225806451613,1,2,"Gill et al 2005"
"Banded wren, Thryothorus pleurostictus",50,3.12,NA,NA,0.1,1.1,1,2,"Cramer et al 2011"
"Rufous-and-white wren, Thryothorus rufalbus",51,3.09803921568627,NA,NA,0.0588235294117647,1.05882352941176,1,2,"Douglas et al 2012"
"House wren, Troglodytes aedon",9,6,NA,NA,0.111111111111111,1.11111111111111,1,2,"Brylawski & Whittingham 2004"
"House wren, Troglodytes aedon",181,4.73480662983425,NA,NA,0.375690607734807,1.52861878453039,1,6,"Cramer et al 2013"
"Pied babbler, Turdoides bicolor",61,2.37704918032787,NA,NA,0.0491803278688525,1.04918032786885,1,2,"Nelson-Flower et al 2011"
"Prairie chicken, Tympanuchus cupido",25,8.5,NA,NA,0.44,1.64,1,4,"Hess et al 2012"
"Scissor-tailed flycatchers, Tyrannus forficatus",140,3.92857142857143,3,6,0.435714285714286,1.65040650406504,1,4,"Roeder et al. 2019"
"Barn owl, Tyto alba",95,4.78947368421053,NA,NA,0.0210526315789474,1.02105263157895,1,2,"Henry et al 2013"
"Golden-winged warblers, Vermivora chrysoptera",54,4.37037037037037,NA,NA,0.538461538461538,1.70557692307692,1,4,"Vallender et al 2007"
"White-eyed vireo, Vireo griseus",36,2.83333333333333,NA,NA,0.0555555555555556,1.05555555555556,1,2,"Campomizzi et al 2012"
"Blue-black grassquits, Volatinia jacarina",11,1.81818181818182,NA,NA,0.363636363636364,1.36363636363636,1,2,"Carvalho et al 2006"
