"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","Cooper's hawk, Accipiter cooperii",3.18181818181818,1.34090909090909,0.340909090909091,0.47432818337491,0.0132510883012534,0.448057060645106,0.500046362789232,1.52954545454545,0.737957814064483,1,3,4.45414113636364,2.56345892105304,2,11,3.22718172445763,1.56025087727274,2.01200564571001,6.68156646293221,0.722828439152449,0.00295282549965659,0.718663220549598,0.729805594441999,1.73344599973193,0.0277830227399511,1.67904135194347,1.78803835284733,2.82917862916791,0.0793147625658468,2.68156953173982,2.99271947565712,0.722188389612444,0.715742370309156,0.732146360244135,0.381279298703353,0.374833279400065,0.391237269335044
"2","Great reed warbler, Acrocephalus arundinaceus",2.49819655521783,1.06617647058824,0.0661764705882353,0.500673715318926,0.00583051426567449,0.489225514358597,0.512117621699179,1.36985294117647,0.632434599378005,1,3,3.91225143382353,2.20097642927704,2,10,2.73639047792586,1.26382644159756,1.95644520920404,6.02568461821171,0.677790048762697,0.00111494750766643,0.675988259758715,0.680311516436553,1.51871235482388,0.00819697386510229,1.50270790260187,1.53489219379011,2.12977251368358,0.0248143209975943,2.08189764501939,2.17931493617238,0.676750515312895,0.6683329763428,0.690474573417009,0.61057404472466,0.602156505754565,0.624298102828773
"3","Black-browed reed-warbler, Acrocephalus bistrigiceps",3.78378378378378,1.13513513513514,0.135135135135135,0.374772306683738,0.0125824136697404,0.349983595195106,0.399295354342169,1.5,0.709967738904323,1,3,5.13013459459459,3.21137424342343,2,13,4.00695521703031,1.90240551585714,2.52031089137338,8.34562618552155,0.742598774893783,0.00159693989763519,0.74140753277278,0.747213959381002,1.70700240781682,0.0308488762432229,1.64699066578573,1.76785605980648,3.03229043450944,0.102116017078533,2.8428458438652,3.24339526403506,0.750070206684031,0.744744565697552,0.758226623211762,0.614935071548896,0.609609430562417,0.623091488076627
"4","Sedge warbler, Acrocephalus schoenobaenus",4.74117647058824,1.20168067226891,0.188235294117647,0.341029946444837,0.00732893720632391,0.326665459308822,0.35553080194618,1.65411764705882,0.870639159425616,1,4,5.95865611764706,3.94845905012191,2,16,4.8526009933987,2.5568722309925,2.82896520629037,11.7231907368634,0.766677235899683,0.00145689163355772,0.764553162342656,0.770127511126537,1.8767805462883,0.0244344382821283,1.82924757346561,1.92548051841688,3.52530960199154,0.0758341883693511,3.37996220213399,3.67862789919023,0.780076866198323,0.773830046504703,0.788724836818928,0.591841572080676,0.585594752387056,0.600489542701281
"5","Eurasian reed-warbler, Acrocephalus scirpaceus",3.57692307692308,1.15384615384615,0.153846153846154,0.426237021619519,0.0112163408944901,0.404679424991331,0.44857680977619,1.59230769230769,0.829236557522559,1,4,4.93628942307692,3.040618840409,2,13,3.7383220481157,1.94999317132533,2.24263147720094,9.37486162813012,0.737134754020792,0.00203755732029,0.734589945027266,0.742196153596809,1.76702728243796,0.0268769277885292,1.71591636696425,1.82112081886359,2.70892902037369,0.0713528383921035,2.57223763853428,2.85125974435453,0.741180352191689,0.735655938654978,0.749765995249712,0.587334198345535,0.581809784808824,0.595919841403558
"6","Long-tailed tit, Aegithalos caudatus",7.75,1.125,0.125,0.209391722864196,0.00665805790147134,0.196378889512627,0.222719990535865,1.6125,0.901301236678557,1,4,8.62653291666667,6.74837172893888,2,27,7.70867943727167,4.31791818134741,4.52501198661117,19.2532476724092,0.797153055782962,0.000670602124987338,0.796687342425774,0.799035460655474,1.93645291246406,0.0371634903427791,1.86447007056904,2.01150852911113,5.37814844460814,0.171376493484641,5.05118555947607,5.72872167064324,0.814213540423779,0.805857097867151,0.824475485205693,0.689213540423779,0.680857097867151,0.699475485205693
"7","Boreal owl, Aegolius funereus",3.40625,1,0,0.416035704847771,0.0145219879299202,0.387739373253957,0.44500410992185,1.478125,0.693376978718024,1,3,4.7152646875,2.8342701661372,2,12,3.55722061096273,1.67432215508102,2.26481067568662,7.44295172694006,0.728982604389272,0.00122861756802265,0.728129023823026,0.732467366726937,1.68745188941272,0.0316727637827192,1.62660524336143,1.75151807760611,2.40657631185639,0.0842370944706038,2.24717025692738,2.57905198491854,0.733474103720432,0.727625663338283,0.742558885834001,0.733474103720432,0.727625663338283,0.742558885834001
"8","Yellow-shouldered blackbird, Agelaius xanthomus",2.9,1.5,0.366666666666667,0.487611415509569,0.0166768297646999,0.454852608344787,0.520093351095567,1.52666666666667,0.81401624252614,1,3,4.36345633333333,2.62109470459813,2,11,3.13458806636917,1.67580987933099,1.93567652041457,6.52769345817104,0.705265154587757,0.00197038951820261,0.703639388920313,0.710730661887394,1.65194861769185,0.0302953246596147,1.59335879271573,1.71189616122782,3.07983543638892,0.105846381496522,2.88409762785115,3.29777156956109,0.706848681489489,0.699809119870716,0.717526807168544,0.340182014822822,0.333142453204049,0.350860140501877
"9","Seaside sparrow, Ammodramus maritimus",2.61111111111111,1.16666666666667,0.166666666666667,0.524386948968418,0.0223124558277318,0.480862021704399,0.567444183909146,1.43888888888889,0.684461770000377,1,3,3.97274666666667,2.213035868315,2,10,2.74894235874271,1.31411379071936,1.77520075408271,5.91007778309999,0.686381276256304,0.00271528634636238,0.684287022400926,0.693969954357595,1.59941580016227,0.0351931646682794,1.53220791563308,1.66875286275432,2.22887218276437,0.0954080288208577,2.05600251095633,2.42619839790948,0.68654911206419,0.678494300969581,0.699132815107575,0.519882445397523,0.511827634302914,0.532466148440908
"10","Mallard, Anas platyrhynchos",9.96153846153846,1.6,0.48,0.198275883011681,0.00805375468507269,0.182670698607903,0.214607345707635,1.948,1.07763466189548,1,5,10.6851628,8.13123884683721,2,32,9.84093798416713,5.46322542166434,4.73339591821427,24.8260030875774,0.818323863769738,0.00492300506916575,0.810118920109953,0.829409674767133,2.22133087481882,0.0625827491577311,2.10142465697602,2.34960594077578,8.08290594182106,0.329027956182554,7.4554763944642,8.75893075459588,0.829333970955725,0.821506793107884,0.838855245972903,0.349333970955725,0.341506793107884,0.358855245972903
