"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Barn swallow, Hirundo rustica",11,4.09090909090909,NA,NA,0.363636363636364,1.36363636363636,1,2,"Smith et al 1991"
"Blue duck, Hymenolaimus malacorhynchos",10,1.4,NA,NA,0,1,1,1,"Triggs et al. (1991)"
"Eurasian wryneck, Jynx torquilla",50,5.84,NA,NA,0.02,1.02,1,2,"Wink et al 2011"
"Bull-headed shrike, Lanius bucephalus",24,4.125,NA,NA,0.166666666666667,1.16666666666667,1,2,"Yamagishi et al. (1992)"
"Red-backed shrike, Lanius collurio",6,3.16666666666667,NA,NA,0.166666666666667,1.16666666666667,1,2,"Fornasari et al. (1994)"
"Lesser gray shrike, Lanius minor",36,3.77777777777778,NA,NA,0,1,1,1,"Valera et al 2003"
"Common gull, Larus canus",24,2.29166666666667,NA,NA,0.0833333333333333,1.08333333333333,1,2,"Bukacinska et al. (1998)"
"Western gull, Larus occidentalis",22,1.5,NA,NA,0,1,1,1,"Gilbert et al. (1998)"
"Palila, Loxioides bailleui",12,1.66666666666667,NA,NA,0,1,1,1,"Fleischer et al. (1994)"
"Noisy miner, Manorina melanocephala",35,2.42857142857143,NA,NA,0.0571428571428571,1.05714285714286,1,2,"Poldmaa et al. (1995)"
"Bell miner, Manorina melanophrys",13,1.84615384615385,NA,NA,0.0769230769230769,1.07692307692308,1,2,"Conrad et al. (1998)"
"Eastern screech-owl, Megascops asio",23,3.47826086956522,NA,NA,0,1,1,1,"Lawless & Ritchinson (1997)"
"Acorn woodpecker, Melanerpes formicivorus",19,2.68421052631579,NA,NA,0,1,1,1,"Dickinson et al. (1995)"
"Corn bunting, Miliaria calandra",15,2.93333333333333,NA,NA,0,1,1,1,"Hartley et al. (1993)"
"Northern wheatear, Oenanthe oenanthe",10,6.2,NA,NA,0.1,1.1,1,2,"Currie et al. (1999)"
