"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"11","Tufted titmouse, Baeolophus bicolor",3.77777777777778,1.11111111111111,0.111111111111111,0.425024324276972,0.0266060797204345,0.373048888209985,0.478102991440789,1.56666666666667,0.775313987370981,1,4,4.89184333333333,2.9685285794054,2,13,3.70064612140533,1.84987749785686,2.12114892897884,9.03394503753238,0.60575427342313,0.0356052911423188,0.535041768432813,0.675515838308887,1.83327624249238,0.0695819810239986,1.70080188030985,1.97551416988078,2.62457171730874,0.165875881345774,2.32399949605239,2.97845978719581,0.573939799412051,0.529294026906266,0.618733880998791,0.46282868830094,0.418182915795155,0.50762276988768
"12","Barnacle goose, Branta leucopsis",2.72,1,0,0.510745104001593,0.00788822134361676,0.495149517240809,0.526090683133789,1.37847222222222,0.626239148334912,1,3,3.88501777777778,2.1502452621575,2,9,2.69958818535136,1.22727831668717,1.90484063388702,5.91449081040794,0.458936075176644,0.0675729082457987,0.378963840937812,0.541287260243865,1.51473303062513,0.107072671414747,1.39416774211321,1.64303705240785,1.95839142917177,0.0302868578405357,1.9008129818437,2.01959199227846,0.498614209335955,0.45028710945767,0.547658156400911,0.498614209335955,0.45028710945767,0.547658156400911
"13","Barnacle goose, Branta leucopsis",2.17460317460317,1,0,0.510745104001593,0.00788822134361676,0.495149517240809,0.526090683133789,1.37847222222222,0.626239148334912,1,3,3.88501777777778,2.1502452621575,2,9,2.69958818535136,1.22727831668717,1.90484063388702,5.91449081040794,0.458936075176644,0.0675729082457987,0.378963840937812,0.541287260243865,1.51473303062513,0.107072671414747,1.39416774211321,1.64303705240785,1.95839142917177,0.0302868578405357,1.9008129818437,2.01959199227846,0.421869717099752,0.377339071754869,0.46777867708039,0.421869717099752,0.377339071754869,0.46777867708039
"14","Red-billed buffalo weaver, Bubalornis niger",2.66666666666667,1.5,0.5,0.521747220052333,0.0384354407783457,0.447298718507045,0.597134465632279,1.43333333333333,0.738617942387219,1,3,3.97417,2.33281272597238,2,10,2.76233533101237,1.44239053826047,1.69147281563176,6.39821237912413,0.527178944752762,0.0449313244625262,0.44099158334306,0.616087436454102,1.61918061112037,0.0629092982419361,1.50176125097173,1.74702371514591,2.89081604408271,0.216617159942688,2.51199702337453,3.35346366570302,0.492514678190172,0.444443566976546,0.541356128958912,-0.00748532180982847,-0.0555564330234536,0.0413561289589121
"15","Galapagos hawk, Buteo galapagoensis",2.2,1,0,0.495852322262483,0.0310583643767257,0.435578641919644,0.557237267580366,1.29,0.515655181201805,1,3,3.750383,2.03609245835829,2,9,2.61189007195214,1.05911392124853,1.80463929642776,5.70434533444405,0.384397981915278,0.0307694884667189,0.326118739643742,0.446656404000435,1.40218474098511,0.0337684739816482,1.33862598858291,1.47092191120865,2.02472098600941,0.128096069622801,1.79456769706508,2.29579668267141,0.426593929053707,0.381760015450506,0.472777958866299,0.426593929053707,0.381760015450506,0.472777958866299
"16","Smiths longspur, Calcarius pictus",3.67741935483871,1.90322580645161,0.774193548387097,0.486356266495065,0.0145540230672157,0.458397748479506,0.515065747128043,1.83870967741935,0.957037727141026,1,4,5.14326838709678,2.9628883414129,2,13,3.78397546489074,1.9736902845937,1.96182455363775,8.47650197414515,0.670989451208758,0.0183333253528672,0.635373606405724,0.706714314938633,1.95779693360659,0.0393169979597329,1.88320322826439,2.03633702206758,3.91674653383427,0.117502527332991,3.69511235618126,4.15190915130355,0.570138942359062,0.525045082376331,0.615396468970666,-0.204054606028035,-0.249148466010766,-0.158797079416431
"17","Purple sandpiper, Calidris maritima",3.03703703703704,1.03703703703704,0.037037037037037,0.468425223122338,0.01751956877744,0.434446144030547,0.503152758270284,1.40740740740741,0.630065325488578,1,3,4.18240407407407,2.37791429693487,2,10,3.00876879249384,1.35263117994269,1.99920097750886,6.52317865560685,0.539764674080874,0.0215952819855058,0.497857519554718,0.582533050190042,1.66765254446298,0.0336735492439014,1.60341764609097,1.73551086468078,2.21698753131126,0.0832208372835724,2.06107791320221,2.38703243504993,0.52733249874626,0.477761949896884,0.577332948543761,0.490295461709223,0.440724912859847,0.540295911506724
"18","Western sandpiper, Calidris mauri",2.44,1.08,0.08,0.531684534646084,0.0197561092735859,0.492713564435843,0.569947233215487,1.34,0.620000124000031,1,3,3.7025584,2.04989418639498,2,9,2.52378636021143,1.1723254997854,1.76287379125235,5.75539291616159,0.483933458970406,0.0220751820356323,0.440822542548614,0.527097393883959,1.53942826264581,0.0276798394272866,1.48588423646462,1.59404432322614,2.03409646942414,0.0759207199473842,1.89491226040084,2.19194290144645,0.465261528092233,0.418247820750463,0.513338174896467,0.385261528092233,0.338247820750463,0.433338174896467
"19","Stripe-backed wren, Campylorhynchus nuchalis",2.02941176470588,1.11764705882353,0.117647058823529,0.572868993223462,0.0175935196067669,0.538247699735708,0.607140712180098,1.32941176470588,0.566480139423717,1,3,3.51572588235294,1.80957115841671,2,8,2.32281802825771,0.992839947234456,1.65434473856906,5.09740098135145,0.411075361685393,0.0175478282755975,0.377128432425457,0.445856001754063,1.41444370362068,0.0178471435236904,1.37993859329263,1.44983912064191,1.95281161667684,0.0602061858472359,1.84083695333597,2.07645487287552,0.392863318526217,0.350305166921575,0.436956171271416,0.275216259702688,0.232658108098046,0.319309112447887
"20","Northern cardinal, Cardinalis cardinalis",1.94736842105263,1.05263157894737,0.0526315789473684,0.569317969044622,0.0237765342185955,0.522119101747076,0.615540781306413,1.27368421052632,0.570172889580295,1,3,3.39786052631579,1.81523430387244,2,8,2.24113866361903,1.00855777453768,1.63197552548255,5.22208884465319,0.381208797081318,0.0225522816278378,0.337585449807648,0.42618426011539,1.37571008044743,0.0218855646652108,1.33331351124672,1.41929343042045,1.85218071373474,0.0778775368743434,1.71009234631805,2.01607559723598,0.374743790087069,0.333508491914558,0.4175930464857,0.3221122111397,0.28087691296719,0.364961467538332
